"BibNumber","MinutesStartAfterNine","FinishMinutes"
888,60.4,171.83
889,60.37,172.31
890,60.4,165.6
891,60.13,169.18
893,60.67,171.87
894,60.17,162.99
896,60.3,185.22
897,60.2,218.13
899,60.17,166.28
900,60.1,148.89
901,60.43,165.5
902,60.25,181.72
903,60.48,167.67
904,60.47,168.01
905,60.3,164.26
907,61.3,161.54
908,60.22,184.78
909,60.37,172.34
911,60.07,181.81
912,60.18,169.47
914,60.15,169.4
915,60.25,180.58
917,60.35,174.45
918,60.23,165.67
919,60.13,164.51
922,60.35,169.82
923,61.58,NA
924,60.43,167.48
925,60.48,161.99
926,60.43,174.61
928,60.15,156.52
933,60.48,182.83
934,60.07,176.39
935,60.32,165.23
937,60.43,168.94
938,60.3,169.56
939,60.33,170.22
940,60.4,170.2
942,60.15,175.32
943,60.53,164.25
944,60.35,171.98
945,60.45,177.75
946,60.47,170.55
947,60.12,161.37
950,60.2,174.61
951,60.42,165.56
952,61.13,169.65
953,60.23,170.04
954,60.18,169.08
955,60.4,165.89
956,60.3,196.89
957,60,173.45
958,60.37,159.51
959,60.38,164.32
960,60.1,179.16
961,60.47,180.48
962,60.32,171.68
963,60.17,175.22
964,60.37,168.18
965,60.38,172.49
966,60.25,171.86
967,60.43,204.33
968,60.28,171.58
969,60.48,165.63
970,60.45,170.83
971,60.27,169.09
972,82.2,217.93
973,60.17,174.72
975,60.37,181.96
976,60.28,171.22
977,60.08,226.39
978,60.22,170.53
980,60.07,154.58
981,60.28,175.03
982,60.58,NA
983,60.2,188.34
984,60.08,170.46
985,60.27,174.31
986,60.82,181.11
987,80.58,250.25
988,60.07,163
989,86,237.21
991,60.38,170.09
1000,60.48,176.36
1001,60.47,169.35
1002,60.72,176.81
1004,60.5,167.29
1006,60.73,186.13
1008,60.5,186.69
1009,60.7,161.52
1010,60.88,171.05
1011,60.3,167.19
1014,60.62,167.32
1015,60.48,165.07
1016,60.53,190.87
1017,60.88,172.08
1019,60.58,172.76
1020,60.3,176.59
1021,60.5,169.3
1022,60.47,168.65
1023,60.63,237.81
1024,60.85,175.53
1025,60.5,184.76
1026,60.5,NA
1027,60.68,194.24
1028,60.87,179.34
1029,60.62,170.22
1031,60.67,165.99
1032,60.7,161.5
1033,61.03,163
1034,60.73,NA
1036,60.15,NA
1037,60.72,174.97
1038,60.55,172.08
1039,61.28,172.77
1040,80.58,209.16
1041,60.5,173.75
1042,60.7,165.88
1043,60.72,167.01
1044,60.52,165.1
1045,60.37,173.2
1046,60.65,169.19
